127.0.0.1, 2017-05-22 17:18:57, GET, /, HTTP/1.1, 303, 0.000832
127.0.0.1, 2017-05-22 17:18:58, GET, /welcome/default/index, HTTP/1.1, 200, 1.032437
127.0.0.1, 2017-05-22 17:18:58, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000475
127.0.0.1, 2017-05-22 17:18:58, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000469
127.0.0.1, 2017-05-22 17:18:58, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000396
127.0.0.1, 2017-05-22 17:18:58, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000389
127.0.0.1, 2017-05-22 17:18:58, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000375
127.0.0.1, 2017-05-22 17:18:58, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000349
127.0.0.1, 2017-05-22 17:18:58, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000377
127.0.0.1, 2017-05-22 17:18:58, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000310
127.0.0.1, 2017-05-22 17:18:58, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000319
127.0.0.1, 2017-05-22 17:18:58, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000440
127.0.0.1, 2017-05-22 17:18:58, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000421
127.0.0.1, 2017-05-22 17:18:58, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000320
127.0.0.1, 2017-05-22 17:18:59, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000472
127.0.0.1, 2017-05-22 17:18:59, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000779
127.0.0.1, 2017-05-22 17:18:59, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000511
127.0.0.1, 2017-05-22 17:18:59, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000403
127.0.0.1, 2017-05-22 17:19:52, GET, /, HTTP/1.1, 303, 0.000840
127.0.0.1, 2017-05-22 17:19:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.087948
127.0.0.1, 2017-05-22 17:20:25, GET, /, HTTP/1.1, 303, 0.000857
127.0.0.1, 2017-05-22 17:20:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.090677
127.0.0.1, 2017-05-22 17:21:10, GET, /welcome/default/index, HTTP/1.1, 200, 0.032322
127.0.0.1, 2017-05-22 17:21:10, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000331
127.0.0.1, 2017-05-22 17:25:07, GET, /, HTTP/1.1, 303, 0.000581
127.0.0.1, 2017-05-22 17:25:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.087992
127.0.0.1, 2017-05-22 17:30:16, GET, /, HTTP/1.1, 303, 0.000547
127.0.0.1, 2017-05-22 17:30:16, GET, /welcome/default/index, HTTP/1.1, 200, 0.098285
192.168.10.38, 2017-05-22 17:30:26, GET, /welcome/default/index, HTTP/1.1, 200, 0.027252
192.168.10.38, 2017-05-22 17:30:26, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000499
192.168.10.38, 2017-05-22 17:30:26, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000471
192.168.10.38, 2017-05-22 17:30:26, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000475
192.168.10.38, 2017-05-22 17:30:26, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000493
192.168.10.38, 2017-05-22 17:30:26, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000469
192.168.10.38, 2017-05-22 17:30:26, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000477
192.168.10.38, 2017-05-22 17:30:26, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000457
192.168.10.38, 2017-05-22 17:30:26, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000456
